Date,IEF,AGG
2016-10-19,110.51000213623047,111.68000030517578
2016-10-20,110.87999725341797,111.83999633789062
2016-10-21,110.77999877929688,111.80000305175781
2016-10-24,110.80999755859375,111.80999755859375
2016-10-25,110.44999694824219,111.58000183105469
2016-10-26,110.41000366210938,111.56999969482422
2016-10-27,109.94999694824219,111.27999877929688
2016-10-28,109.8499984741211,111.11000061035156
2016-10-31,110.0999984741211,111.30000305175781
2016-11-01,109.58999633789062,110.87999725341797
2016-11-02,110.11000061035156,111.12000274658203
2016-11-03,110.08000183105469,111.02999877929688
2016-11-04,110.30000305175781,111.1500015258789
2016-11-07,110.0999984741211,111.13999938964844
2016-11-08,110.06999969482422,111.12999725341797
2016-11-09,109.16000366210938,110.52999877929688
2016-11-10,107.66999816894531,109.66000366210938
2016-11-11,107.55000305175781,109.45999908447266
2016-11-14,106.5,108.63999938964844
2016-11-15,106.48999786376953,109.0
2016-11-16,106.2699966430664,109.01000213623047
2016-11-17,106.41999816894531,109.01000213623047
2016-11-18,106.0999984741211,108.80999755859375
2016-11-21,105.73999786376953,108.55999755859375
2016-11-22,105.88999938964844,108.58999633789062
2016-11-23,105.25,108.18000030517578
2016-11-24,105.25,108.18000030517578
2016-11-25,105.51000213623047,108.30000305175781
2016-11-28,105.7300033569336,108.37999725341797
2016-11-29,105.68000030517578,108.5
2016-11-30,105.29000091552734,108.2300033569336
2016-12-01,104.62000274658203,107.75
2016-12-02,104.93000030517578,107.93000030517578
2016-12-05,104.83000183105469,107.94000244140625
2016-12-06,105.16999816894531,108.13999938964844
2016-12-07,105.37000274658203,108.22000122070312
2016-12-08,105.19000244140625,108.18000030517578
2016-12-09,105.08000183105469,108.08000183105469
2016-12-12,104.5199966430664,107.69999694824219
2016-12-13,104.79000091552734,107.87000274658203
2016-12-14,105.0199966430664,108.06999969482422
2016-12-15,103.77999877929688,107.37000274658203
2016-12-16,103.69000244140625,107.16000366210938
2016-12-19,104.0,107.4000015258789
2016-12-20,103.75,107.30000305175781
2016-12-21,104.0,107.5
2016-12-22,103.79000091552734,107.33999633789062
2016-12-23,103.97000122070312,107.54000091552734
2016-12-26,103.97000122070312,107.54000091552734
2016-12-27,103.70999908447266,107.19000244140625
2016-12-28,103.86000061035156,107.33000183105469
2016-12-29,104.36000061035156,107.7300033569336
2016-12-30,104.55999755859375,107.87999725341797
2017-01-02,104.55999755859375,107.87999725341797
2017-01-03,104.3499984741211,107.7300033569336
2017-01-04,104.7300033569336,108.16000366210938
2017-01-05,105.0999984741211,108.37000274658203
2017-01-06,105.18000030517578,108.43000030517578
2017-01-09,105.47000122070312,108.54000091552734
2017-01-10,105.44000244140625,108.44999694824219
2017-01-11,105.5,108.52999877929688
2017-01-12,105.81999969482422,108.77999877929688
2017-01-13,105.37000274658203,108.5
2017-01-16,105.37000274658203,108.5
2017-01-17,105.97000122070312,108.80999755859375
2017-01-18,105.5999984741211,108.5999984741211
2017-01-19,104.83000183105469,108.05999755859375
2017-01-20,104.63999938964844,107.94000244140625
2017-01-23,105.01000213623047,108.22000122070312
2017-01-24,105.13999938964844,108.33000183105469
2017-01-25,104.55000305175781,107.9800033569336
2017-01-26,104.41000366210938,107.86000061035156
2017-01-27,104.6500015258789,108.02999877929688
2017-01-30,104.73999786376953,108.16000366210938
2017-01-31,104.79000091552734,108.08000183105469
2017-02-01,104.55999755859375,107.7699966430664
2017-02-02,105.02999877929688,108.05999755859375
2017-02-03,105.0,108.12000274658203
2017-02-06,105.23999786376953,108.22000122070312
2017-02-07,105.25,108.30000305175781
2017-02-08,105.5,108.61000061035156
2017-02-09,105.93000030517578,108.61000061035156
2017-02-10,105.06999969482422,108.26000213623047
2017-02-13,105.0,108.33999633789062
2017-02-14,105.0199966430664,108.30000305175781
2017-02-15,104.33000183105469,107.91999816894531
2017-02-16,104.5999984741211,108.01000213623047
2017-02-17,105.19999694824219,108.37000274658203
2017-02-20,105.19999694824219,108.37000274658203
2017-02-21,104.94000244140625,108.23999786376953
2017-02-22,105.36000061035156,108.54000091552734
2017-02-23,105.5,108.55999755859375
2017-02-24,105.94000244140625,108.87999725341797
2017-02-27,105.98999786376953,108.94999694824219
2017-02-28,105.75,108.80000305175781
2017-03-01,104.70999908447266,108.12000274658203
2017-03-02,104.55999755859375,107.93000030517578
2017-03-03,104.5,107.91999816894531
2017-03-06,104.58999633789062,107.94000244140625
2017-03-07,104.43000030517578,107.80000305175781
2017-03-08,103.91999816894531,107.38999938964844
2017-03-09,103.94000244140625,107.31999969482422
2017-03-10,103.9800033569336,107.2300033569336
2017-03-13,103.80999755859375,107.20999908447266
2017-03-14,103.7699966430664,107.08000183105469
2017-03-15,103.98999786376953,107.25
2017-03-16,104.48999786376953,107.68000030517578
2017-03-17,104.58000183105469,107.72000122070312
2017-03-20,104.75,107.86000061035156
2017-03-21,104.91000366210938,107.93000030517578
2017-03-22,105.52999877929688,108.44000244140625
2017-03-23,105.58999633789062,108.44000244140625
2017-03-24,105.38999938964844,108.3499984741211
2017-03-27,105.91999816894531,108.6500015258789
2017-03-28,105.86000061035156,108.62999725341797
2017-03-29,105.55999755859375,108.4800033569336
2017-03-30,105.62999725341797,108.5199966430664
2017-03-31,105.52999877929688,108.44000244140625
2017-04-03,105.55999755859375,108.30999755859375
2017-04-04,105.91999816894531,108.61000061035156
2017-04-05,105.66999816894531,108.4800033569336
2017-04-06,106.02999877929688,108.63999938964844
2017-04-07,106.19000244140625,108.80000305175781
2017-04-10,105.75,108.52999877929688
2017-04-11,106.05000305175781,108.76000213623047
2017-04-12,106.37000274658203,108.93000030517578
2017-04-13,106.80000305175781,109.25
2017-04-14,106.80000305175781,109.25
2017-04-17,106.94999694824219,109.30000305175781
2017-04-18,107.05999755859375,109.41000366210938
2017-04-19,107.12000274658203,109.47000122070312
2017-04-20,106.93000030517578,109.30999755859375
2017-04-21,106.95999908447266,109.4000015258789
2017-04-24,106.43000030517578,109.05000305175781
2017-04-25,106.3499984741211,108.98999786376953
2017-04-26,106.13999938964844,108.8499984741211
2017-04-27,106.37999725341797,108.94000244140625
2017-04-28,106.31999969482422,108.9800033569336
2017-05-01,106.31999969482422,108.86000061035156
2017-05-02,106.16000366210938,108.68000030517578
