Date,IEF,AGG,BND,TLT,SHY,TIP,HYG,LQD,EMB,MUB,PFF,^GSPC,UDN,EURUSD=X,^VIX,CL=F,^IRX,^FVX,^TNX,^TYX
2020-07-17,122.12000274658203,118.94000244140625,88.91000366210938,167.27000427246094,86.56999969482422,124.2699966430664,83.4800033569336,137.32000732421875,110.58999633789062,116.11000061035156,35.27000045776367,3224.2099609375,20.479999542236328,1.1386499404907227,27.149999618530273,40.720001220703125,0.10000000149011612,0.26899999380111694,0.6039999723434448,1.2960000038146973
2020-07-20,122.19999694824219,119.02999877929688,89.0,167.50999450683594,86.58000183105469,124.6500015258789,83.58999633789062,137.6199951171875,111.12000274658203,116.26000213623047,35.31999969482422,3224.2900390625,20.549999237060547,1.1439553499221802,26.940000534057617,40.63999938964844,0.10499999672174454,0.26899999380111694,0.6069999933242798,1.3040000200271606
2020-07-21,122.16000366210938,119.0999984741211,89.01000213623047,167.3000030517578,86.55000305175781,124.75,84.30000305175781,137.9199981689453,111.91999816894531,116.3499984741211,35.38999938964844,3268.52001953125,20.59000015258789,1.1457641124725342,24.079999923706055,40.650001525878906,0.11500000208616257,0.2840000092983246,0.6169999837875366,1.3170000314712524
2020-07-22,122.38999938964844,119.22000122070312,89.12000274658203,168.25999450683594,86.58000183105469,125.12999725341797,84.5,138.27999877929688,112.19000244140625,116.48999786376953,35.529998779296875,3254.860107421875,20.770000457763672,1.1535090208053589,24.559999465942383,41.540000915527344,0.10499999672174454,0.2639999985694885,0.5910000205039978,1.2929999828338623
2020-07-23,122.43000030517578,119.3499984741211,89.23999786376953,168.9199981689453,86.56999969482422,125.0,84.56999969482422,138.47000122070312,112.66000366210938,116.58999633789062,35.630001068115234,3271.639892578125,20.729999542236328,1.156671166419983,23.969999313354492,41.95000076293945,0.1080000028014183,0.2630000114440918,0.5839999914169312,1.274999976158142
2020-07-24,122.30000305175781,119.26000213623047,89.16000366210938,169.00999450683594,86.56999969482422,124.86000061035156,84.33999633789062,138.1699981689453,111.79000091552734,116.55999755859375,35.68000030517578,3218.580078125,20.860000610351562,1.1595009565353394,27.959999084472656,41.060001373291016,0.10300000011920929,0.2709999978542328,0.5860000252723694,1.2419999837875366
2020-07-27,122.44000244140625,119.4000015258789,89.2699966430664,170.25,86.58000183105469,125.0,84.7300033569336,138.19000244140625,112.29000091552734,116.63999938964844,35.72999954223633,3219.840087890625,21.040000915527344,1.1652567386627197,26.600000381469727,41.2599983215332,0.09799999743700027,0.26600000262260437,0.5789999961853027,1.2209999561309814
2020-07-28,122.30000305175781,119.30000305175781,89.20999908447266,169.5399932861328,86.55999755859375,124.87999725341797,84.72000122070312,137.9199981689453,112.37000274658203,116.66999816894531,35.79999923706055,3234.27001953125,21.040000915527344,1.1766505241394043,24.860000610351562,41.650001525878906,0.10300000011920929,0.27799999713897705,0.6050000190734863,1.253999948501587
2020-07-29,122.44999694824219,119.30000305175781,89.19999694824219,170.0500030517578,86.58000183105469,125.11000061035156,84.83999633789062,137.69000244140625,112.3499984741211,116.69000244140625,35.880001068115234,3227.219970703125,21.049999237060547,1.17205810546875,25.15999984741211,41.130001068115234,0.09799999743700027,0.26600000262260437,0.5839999914169312,1.2319999933242798
2020-07-30,122.75,119.51000213623047,89.31999969482422,171.0500030517578,86.5999984741211,125.47000122070312,84.77999877929688,138.22999572753906,112.44000244140625,116.7699966430664,36.060001373291016,3231.760009765625,21.100000381469727,1.1786893606185913,25.040000915527344,41.31999969482422,0.09000000357627869,0.24199999868869781,0.5609999895095825,1.2139999866485596
